targetType,tLines,tLumin
3,194,19983.756
4,154,8060.665
1,581,8586.187
2,580,7807.941
3,388,13710.409
4,231,7755.948
1,517,5231.822
2,338,4625.223
3,359,13568.334
4,159,16965.12
1,320,12592.416
2,474,2639.805
3,342,22949
4,233,13804.543
1,253,11431.682
2,464,6108.076
3,357,19523.475
4,37,12069.174
1,111,21161.295
2,454,17156.437
3,291,13763.352
4,310,9468.883
1,391,493.714
2,251,1128.941
3,234,6912.508
4,670,7193.37
1,527,6743.283
2,581,10928.472
3,782,9510.534
4,173,5116.488
1,470,5023.052
2,454,7485.678
3,183,956.864
4,218,4710.454
1,340,8427.861
2,813,8479.261
3,151,14792.948
4,184,13881.422
1,206,13318.802
2,481,15448.591
3,231,14848.261
4,245,10399.9
1,463,10341.411
2,494,12045.659
3,730,17991.726
4,238,6350.696
1,455,6475.058
2,436,6288.65
3,346,4339.06
4,260,13430.264
1,136,8513.488
2,522,484.645
3,88,9121.372
4,147,14557.922
1,285,13479.793
2,492,5844.972
3,271,15705.997
4,361,1042.472
1,201,1154.824
2,342,4625.223
3,197,19983.756
4,254,13118.423
1,245,19867.248
2,250,4774.584
3,138,16388.967
4,150,14557.922
1,329,5016.024
2,221,6869.035
3,508,23942.435
4,276,6857.79
1,326,12592.416
2,419,11850.045
3,356,8621.214
4,44,13184.952
1,382,8062.174
2,572,9268.918
3,174,956.864
4,219,4710.454
1,274,2309.487
2,435,13510.968
3,724,17991.726
4,248,10399.9
1,164,4159.913
2,338,4090.849
3,186,11955.038
4,127,9861.54
1,209,13318.802
2,473,16154.6
3,175,11532.405
4,676,7737.035
1,318,9476.044
2,316,7171.92
3,484,12377.681
4,476,8595.281
1,341,17728.909
2,503,3984.862
3,224,20400
4,700,3488.251
1,436,4371.273
2,429,11128.68
3,442,10450.121
4,955,10110.903
1,369,10068.995
2,585,5360.047
3,651,8023.468
4,508,13607.478
1,237,1162.82
2,552,7807.941
3,377,18026.669
4,231,9372.424
1,262,10233.342
2,785,8479.261
3,359,3145.646
4,225,8007.272
1,457,11364.888
2,559,15625.316
3,368,13241.107
4,235,6350.696
1,113,21161.295
2,561,13575.396
3,279,4443.074
4,173,5116.488
1,378,10068.995
2,520,484.645
3,279,13761.214
4,263,13118.423
1,201,1154.824
2,552,7807.941
3,785,9510.534
4,409,11147.852
1,435,4371.273
2,774,13339.378
3,326,7259.755
4,170,5116.488
1,449,2814.977
2,567,9268.918
3,361,18026.669
4,116,9861.54
1,360,4312.894
2,678,11481.401
3,190,6562.099
4,313,9919.672
1,322,8165.864
2,453,6108.076
3,299,13763.352
4,60,16851.136
1,602,21051.232
2,414,17382.951
3,388,13710.409
4,161,16965.12
1,536,6743.283
2,521,15625.316
3,358,19523.475
4,39,7693.509
1,400,4217.691
2,260,4774.584
3,285,15705.997
4,346,11924.834
1,248,1162.82
2,309,8543.864
1,407,10201.611
2,647,7149.01
3,168,7456.517
4,252,10399.9
1,428,4371.273
2,347,9685.368
3,282,5785.002
4,680,7193.37
1,358,10068.995
2,433,4835.154
3,665,8023.468
4,665,4531.433
1,221,1162.82
2,575,13575.396
3,217,5281.47
4,481,8595.281
1,138,1307.966
2,409,11850.045
3,240,7464.547
4,223,10368.804
1,306,11110.612
2,477,3114.82
3,287,4867.263
4,359,6367.015
1,243,19867.248
2,477,2822.448
3,199,11955.038
4,242,13804.543
1,148,30224.855
2,344,4090.849
3,579,17227.416
4,115,17558.705
1,444,11364.888
2,446,7485.678
3,910,11738.904
4,189,13881.422
1,48,415.859
2,558,13813.82
3,328,11666.373
4,140,8060.665
1,476,11986.028
2,744,13339.378
3,166,6562.099
4,58,16851.136
1,412,7216.712
2,247,1128.941
3,382,13241.107
4,695,7737.035
1,317,18506.823
2,721,10814.117
3,218,27845.435
4,680,3488.251
1,473,5172.79
2,583,12849.486
3,158,28355.308
4,336,11924.834
1,400,13299.168
2,673,12009.704
3,444,12811.282
4,306,12143.768
1,312,9476.044
2,463,2639.805
3,323,4339.06
4,33,12069.174
1,276,4504.595
2,834,4999.539
3,347,19523.475
4,55,16851.136
1,448,11364.888
2,376,9712.569
3,403,9174.595
4,260,9720.896
1,325,12590.008
2,353,2765.295
3,301,5785.002
4,591,6495.058
1,494,9436.393
2,813,7253.069
3,343,14222.618
4,428,9170.66
1,254,1162.82
2,420,11128.68
3,490,12377.681
4,218,4710.454
1,378,8062.174
2,362,9909.768
3,713,17991.726
4,547,8367.067
1,394,13299.168
2,436,4835.154
3,164,28355.308
4,697,7193.37
1,307,20451.329
2,328,2503.763
3,196,15506.769
4,395,11147.852
1,380,5367.04
2,660,7149.01
3,148,14792.948
4,54,10522.518
1,493,10435.932
2,451,8139.541
3,207,13253.62
4,123,17558.705
1,274,10233.342
2,474,4479.46
3,213,20400
4,334,6367.015
1,592,8586.187
2,567,2394.338
3,441,12811.282
4,655,7737.035
1,290,10830.079
2,456,5073.789
3,93,9121.372
4,689,3488.251
1,747,10779.663
2,780,8479.261
3,169,8338.66
4,120,9861.54
1,409,10201.611
2,537,3984.862
3,257,8621.41
4,124,8022.351
1,350,8427.861
2,769,13339.378
3,260,15705.997
4,272,7971.726
1,369,13184.203
2,555,7807.941
3,301,4867.263
4,39,13184.952
1,353,17196.129
2,518,3984.862
3,207,20400
4,178,5515.816
1,334,12230.855
2,425,7485.678
3,181,956.864
4,219,10368.804
1,562,6743.283
2,466,2822.448
3,707,17991.726
4,189,12818.544
1,197,1154.824
2,661,11481.401
3,362,19523.475
4,473,9826.657
1,330,5926.685
2,598,5360.047
3,362,30516.626
4,59,16851.136
1,219,6698.196
2,448,6108.076
3,360,8621.214
4,39,12069.174
1,434,6475.058
2,459,17382.951
3,202,15506.769
4,324,9468.883
1,281,10830.079
2,453,4479.46
3,304,4230.533
4,433,9170.66
1,293,11110.612
2,341,4090.849
3,543,16760.152
4,277,20639.591
1,598,8586.187
2,532,5825.26
3,664,8023.468
4,571,10792.894
